"ticket","trade-date","pnl","volume","lots","sl","tp","swap","commissions","duration","side","open-time","open-price","close-price","close-time","symbol","comment"
"1444501","08/08/2024 02:36:16 PM","30","23528","100","","","","","00:01:06:28","SELL","08/08/2024 02:36:16 PM","234.98","235.28","08/08/2024 03:42:45 PM","LOW.NYS",""
"1454666","08/08/2024 04:24:41 PM","200","19969","100","199.69","","","","00:02:10:59","SELL","08/08/2024 04:24:41 PM","197.69","199.69","08/08/2024 06:35:41 PM","TSLA.NAS",""
"1454661","08/08/2024 04:24:41 PM","198","19967","100","199.68","","","","00:02:11:01","SELL","08/08/2024 04:24:41 PM","197.69","199.67","08/08/2024 06:35:43 PM","TSLA.NAS",""
"1507064","09/08/2024 01:49:44 PM","-124","19959","100","","","","","00:00:00:37","BUY","09/08/2024 01:49:44 PM","198.35","199.59","09/08/2024 01:50:22 PM","TSLA.NAS",""
"1507364","09/08/2024 01:50:40 PM","76.25","20980","125","","","","","00:00:27:04","SELL","09/08/2024 01:50:40 PM","167.23","167.84","09/08/2024 02:17:44 PM","AMZN.NAS",""
"1507369","09/08/2024 01:50:41 PM","67.5","20977.5","125","","","","","00:00:27:04","SELL","09/08/2024 01:50:41 PM","167.28","167.82","09/08/2024 02:17:45 PM","AMZN.NAS",""
"1507730","09/08/2024 01:52:27 PM","316","67804.79999999999","80","","","","","00:00:25:19","SELL","09/08/2024 01:52:27 PM","843.61","847.56","09/08/2024 02:17:47 PM","COST.NAS",""
"1532906","09/08/2024 04:49:41 PM","166","19968","100","199.68","","","","00:01:04:29","SELL","09/08/2024 04:49:41 PM","198.02","199.68","09/08/2024 05:54:10 PM","TSLA.NAS",""
"1532911","09/08/2024 04:49:41 PM","169","19968","100","199.69","","","","00:01:04:29","SELL","09/08/2024 04:49:41 PM","197.99","199.68","09/08/2024 05:54:10 PM","TSLA.NAS",""
"1601002","12/08/2024 02:08:52 PM","31.9","15054.600000000002","110","","","","","00:00:35:57","SELL","12/08/2024 02:08:52 PM","136.57","136.86","12/08/2024 02:44:49 PM","AMD.NAS",""
"1601007","12/08/2024 02:08:52 PM","30.8","15053.5","110","","","","","00:00:35:57","SELL","12/08/2024 02:08:52 PM","136.57","136.85","12/08/2024 02:44:50 PM","AMD.NAS",""
"1606511","12/08/2024 02:32:58 PM","12","45299","100","","","","","00:00:11:54","SELL","12/08/2024 02:32:58 PM","452.87","452.99","12/08/2024 02:44:52 PM","QQQ.xnms",""
"1614223","12/08/2024 03:49:11 PM","80","19625","100","","","","","00:00:07:05","SELL","12/08/2024 03:49:11 PM","195.45","196.25","12/08/2024 03:56:16 PM","TSLA.NAS",""
"1614228","12/08/2024 03:49:11 PM","74","19625","100","","","","","00:00:07:05","SELL","12/08/2024 03:49:11 PM","195.51","196.25","12/08/2024 03:56:17 PM","TSLA.NAS",""
"1614233","12/08/2024 03:49:11 PM","74","19625","100","","","","","00:00:07:06","SELL","12/08/2024 03:49:11 PM","195.51","196.25","12/08/2024 03:56:18 PM","TSLA.NAS",""
"1660526","13/08/2024 01:31:53 PM","-97.5","13978.75","125","","","","","00:00:10:37","SELL","13/08/2024 01:31:53 PM","112.61","111.83","13/08/2024 01:42:30 PM","NVDA.NAS",""
"1660532","13/08/2024 01:31:53 PM","-100","13976.25","125","","","","","00:00:10:37","SELL","13/08/2024 01:31:53 PM","112.61","111.81","13/08/2024 01:42:31 PM","NVDA.NAS",""
"1663236","13/08/2024 01:42:46 PM","-32","41007","100","","","","","00:00:49:17","SELL","13/08/2024 01:42:46 PM","410.39","410.07","13/08/2024 02:32:03 PM","MSFT.NAS",""
"1663255","13/08/2024 01:42:47 PM","-32","41007","100","","","","","00:00:49:19","SELL","13/08/2024 01:42:47 PM","410.39","410.07","13/08/2024 02:32:06 PM","MSFT.NAS",""
"1681434","13/08/2024 02:48:02 PM","38.75","25757.5","125","","","","","00:00:00:15","SELL","13/08/2024 02:48:02 PM","205.75","206.06","13/08/2024 02:48:18 PM","TSLA.NAS",""
"1681439","13/08/2024 02:48:02 PM","42.5","25761.25","125","","","","","00:00:00:16","SELL","13/08/2024 02:48:02 PM","205.75","206.09","13/08/2024 02:48:19 PM","TSLA.NAS",""
